1,2,3,4,5,6,7
39.07613,65.12689,87.16985,280.0457,305.35430844896825,342.2760453573156,387.68110197794226
42.08199,66.12885,87.16985,183.3572,207.54102506986283,235.9804200036444,268.14586021571097
44.0859,64.62592,97.18936,115.2245,135.2635,160.3123,182.8563
31.38409,76.97585,84.16399,111.2167,170.3319,191.3729,216.4217
40.57906,62.12103,84.66496,113.7216,140.7743,167.326,181.8543
36.07028,58.6142,90.17569,112.2186,140.2733,159.8114,182.8563
36.07028,59.11518,82.16008,104.704,128.7509,154.8016,175.3416
33.06442,62.62201,86.66887,110.7157,131.2557,154.8016,174.3397
41.08004,73.64349,106.2069,135.2635,153.2987,176.8446,197.8856
38.57516,63.62396,80.15617,111.7177,132.2577,148.7899,174.8407
35.06833,55.10737,81.15813,110.7157,129.2518,154.3006,177.3456
33.5654,61.11908,84.16399,105.205,136.7665,152.7977,172.8368
38.57516,59.11518,82.16008,107.7099,133.7606,156.3045,177.8465
35.56931,59.61616,83.16203,109.2128,126.7469,149.2909,175.3416
36.57125,54.6064,104.203,123.7411,143.7801,261.0085,298.5818
33.5654,50.09761,99.19327,119.2323,135.7645,242.9734,286.5583
37.07223,55.60835,76.14837,94.68448,124.2421,149.2909,177.8465
38.57516,59.61616,85.16594,107.7099,137.2675,159.3104,178.3475
47.59273,70.63763,88.1718,115.7255,138.2694,161.3143,180.8524
40.57906,66.12885,90.67667,115.2245,131.7567,149.7919,181.3533
32.56345,56.10932,76.64934,101.1972,122.7391,145.784,170.3319
39.57711,62.12103,88.67278,113.7216,134.2616,155.8036,176.3436
36.07028,63.12299,84.66496,110.2147,133.2596,154.3006,176.3436
33.06442,53.60444,78.15227,101.6981,126.246,151.7958,177.3456
40.07809,64.62592,88.67278,109.2128,136.7665,161.3143,185.05636287358413
37.07223,59.11518,85.16594,107.2089,129.7528,153.2987,176.05448950367008
43.08395,70.13666,90.67667,106.7079,128.2499,181.8543,208.907
31.06052,62.62201,82.16008,116.2265,138.7704,159.8114,190.3709
41.58102,60.91801,79.15422,99.19327,122.63347248239188,144.10023488277074,165.01090214565875
43.58492,65.12689,85.66692,104.704,128.11376693843863,149.8750356323243,171.42237820994552
41.08004,64.12494,88.1718,106.2069,133.7606,170.3319,194.8797
31.56149,67.63177,89.67473,122.2382,143.7801,171.3338,198.8875
34.56735,57.61225,82.66106,105.205,129.7528,155.8036,179.35317496886336
41.58102,65.62787,88.67278,111.2167,136.7665,158.8094,181.74228616850894
56.10932,78.15227,95.68643,116.7274,133.7606,166.825,194.3787
44.0859,101.6981,122.7391,141.7762,183.3572,217.4236,250.989
40.07809,61.11908,89.17375,110.2147,131.7567,155.2636799910676,178.06458493078435
42.58297,64.62592,86.16789,122.7391,124.2421,143.71130423698395,163.26886267629277
33.5654,57.11127,86.66887,107.2089,126.246,148.2889,184.8602
34.56735,70.13666,89.17375,110.2147,127.7489,145.784,165.8231
37.07223,55.10737,83.66301,109.7138,134.58429103162544,158.79613281179655,182.47988018473143
41.08004,68.63373,89.17375,114.2225,138.00065703707628,160.5753752385457,183.5975805026327
